,liftID,resortID,liftName,status,timeToRide,timestamp,time_diff,time_diff_seconds
1843,4,13,Jersey Cream Express,O,5,Mon Jan  6 08:45:26 2020,0 days 06:29:59.752015000,23399.752015000002
1844,4,13,Jersey Cream Express,X,5,Mon Jan  6 15:15:26 2020,0 days 16:30:00.645198000,59400.645198000006
1845,4,13,Jersey Cream Express,H,5,Tue Jan  7 07:45:26 2020,0 days 01:59:59.688948000,7199.688948000001
1846,4,13,Jersey Cream Express,O,5,Tue Jan  7 09:45:26 2020,0 days 05:30:00.097727000,19800.097727
1847,4,13,Jersey Cream Express,X,5,Tue Jan  7 15:15:26 2020,0 days 16:29:59.999299000,59399.999299
1848,4,13,Jersey Cream Express,H,5,Wed Jan  8 07:45:26 2020,0 days 01:14:59.806921000,4499.806921
1849,4,13,Jersey Cream Express,O,5,Wed Jan  8 09:00:26 2020,0 days 06:30:00.400559000,23400.400559
1850,4,13,Jersey Cream Express,X,5,Wed Jan  8 15:30:26 2020,0 days 16:15:00.071091000,58500.071091000005
1851,4,13,Jersey Cream Express,H,5,Thu Jan  9 07:45:26 2020,0 days 00:45:00.012735000,2700.0127350000002
1852,4,13,Jersey Cream Express,O,5,Thu Jan  9 08:30:26 2020,0 days 06:45:00.177602000,24300.177602
1853,4,13,Jersey Cream Express,X,5,Thu Jan  9 15:15:26 2020,0 days 16:29:59.441410000,59399.44141000001
1854,4,13,Jersey Cream Express,H,5,Fri Jan 10 07:45:26 2020,0 days 00:44:59.829894000,2699.829894
1855,4,13,Jersey Cream Express,O,5,Fri Jan 10 08:30:26 2020,0 days 06:45:00.093875000,24300.093875000002
1856,4,13,Jersey Cream Express,X,5,Fri Jan 10 15:15:26 2020,0 days 16:30:00.262163000,59400.26216300001
1857,4,13,Jersey Cream Express,H,5,Sat Jan 11 07:45:26 2020,0 days 00:30:04.092417000,1804.092417
1858,4,13,Jersey Cream Express,O,5,Sat Jan 11 08:15:30 2020,0 days 06:59:55.821512000,25195.821512000002
1859,4,13,Jersey Cream Express,X,5,Sat Jan 11 15:15:26 2020,0 days 16:29:59.883415000,59399.883415000004
1860,4,13,Jersey Cream Express,H,5,Sun Jan 12 07:45:26 2020,0 days 00:45:00.165019000,2700.165019
1861,4,13,Jersey Cream Express,O,5,Sun Jan 12 08:30:26 2020,0 days 06:45:00.110154000,24300.110154
1862,4,13,Jersey Cream Express,X,5,Sun Jan 12 15:15:26 2020,0 days 16:30:00.289703000,59400.289703
1863,4,13,Jersey Cream Express,H,5,Mon Jan 13 07:45:26 2020,0 days 00:44:59.959154000,2699.959154
