index,liftID,resortID,liftName,status,timeToRide,timestamp,time_diff,time_diff_seconds
603,10,14,Adventure Triple,O,3,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
603,10,14,Adventure Triple,X,3,Sun Feb 16 13:47:08 2020,0 days 23:17:39.248158000,83859.248158
273,2,14,FourRunner Quad,X,7,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
595,2,14,FourRunner Quad,O,7,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
595,2,14,FourRunner Quad,X,7,Sun Feb 16 13:47:08 2020,0 days 23:17:39.248158000,83859.248158
272,1,14,Gondola,X,8,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
594,1,14,Gondola,O,8,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
594,1,14,Gondola,X,8,Sun Feb 16 13:47:08 2020,0 days 23:17:39.248158000,83859.248158
274,3,14,Lookout Double,X,12,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
596,3,14,Lookout Double,O,12,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
596,3,14,Lookout Double,X,12,Sun Feb 16 13:47:08 2020,0 days 23:17:39.248158000,83859.248158
282,11,14,Meadows Carpet,X,1,Sat Feb 15 20:13:50 2020,0 days 13:09:27.875414000,47367.875414
604,11,14,Meadows Carpet,O,1,Sun Feb 16 09:23:18 2020,1 days 03:41:29.093450000,99689.09345
